paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types,readout_resolution,region_size,genomic_region,genome_assembly
TakeiY_2021_PMID33505024,4DNESL2AY9CM,Mouse ES cells,Chromatin tracing in mESCs,ES-E14TG2a.4,stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,12,2,1,4DNFIFLJGGNR,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/8189709b-f1e7-4f0b-bf68-89eb9fd0afcf/4DNFIFLJGGNR.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)|FOF-CT - spot quality (csv),~1 Mb,genome-wide (2460 loci),2460 loci genome-wide,GRCm38
TakeiY_2021_PMID33505024,4DNESL2AY9CM,Mouse ES cells,Chromatin tracing in mESCs,ES-E14TG2a.4,stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,12,2,1,4DNFIHF3JCBY,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/e699334e-fb34-4a0e-8ef6-670b2099831a/4DNFIHF3JCBY.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)|FOF-CT - spot quality (csv),25 kb,20 sub-Mb regions (1200 loci),20 regions at 25-kb resolution,GRCm38
TakeiY_2021_PMID33505024,4DNESL2AY9CM,Mouse ES cells,Chromatin tracing in mESCs,ES-E14TG2a.4,stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,12,2,2,4DNFIBLDQPP7,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/29b5f230-c540-47cc-9fc7-e6dc2bb4ab7b/4DNFIBLDQPP7.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)|FOF-CT - spot quality (csv),~1 Mb,genome-wide (2460 loci),2460 loci genome-wide,GRCm38
TakeiY_2021_PMID33505024,4DNESL2AY9CM,Mouse ES cells,Chromatin tracing in mESCs,ES-E14TG2a.4,stem cells,Mouse stem cell,stem cell,None,None,multiplexed FISH,12,2,2,4DNFIQXONUUH,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/780f3c41-a267-4f30-949a-ef653b29ef90/4DNFIQXONUUH.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - RNA-spot (csv)|FOF-CT - cell data (csv)|FOF-CT - spot quality (csv),25 kb,20 sub-Mb regions (1200 loci),20 regions at 25-kb resolution,GRCm38
