paper,expset_accession,condition,dataset_label,biosource,biosample_type,biosample_category,tissue,treatments_summary,modifications_summary,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Huang_2021_PMID34002095,4DNESNEKOCAP,4 CTCF sites inserted downstream of both Sox2 and SE with Sox2 RNA FISH,Chromatin Tracing of Sox2 and SE with engineered CTCF insertions,F123-CASTx129 with Sox2 tags and RMCE site downstream of Sox2 SE,stem cells,Tier 2; Mouse stem cell,stem cell,None,RMCE replacement,multiplexed FISH,8,1,1,4DNFIKPGMZJ8,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/dd3ce111-46ec-420a-bd64-e66743f3bd06/4DNFIKPGMZJ8.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - trace data (csv)
Huang_2021_PMID34002095,4DNESC5PKTQ9,4 CTCF sites inserted between Sox2 and SE with Sox2 RNA FISH,Chromatin Tracing of Sox2 and SE with engineered CTCF insertions,F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE,stem cells,Tier 2; Mouse stem cell,stem cell,None,RMCE replacement,multiplexed FISH,8,1,1,4DNFI9KE6AII,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9d56260f-c0cf-4bd9-9e6f-cb17a2975b6d/4DNFI9KE6AII.csv,FOF-CT - DNA-spot/trace core (csv)|FOF-CT - trace data (csv)
Huang_2021_PMID34002095,4DNESOXQX1JT,4 mutant CTCF sites inserted between Sox2 and SE,Chromatin Tracing of Sox2 and SE with engineered CTCF insertions,F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE,stem cells,Tier 2; Mouse stem cell,stem cell,None,RMCE replacement,multiplexed FISH,5,1,1,4DNFIA8DHAFV,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/291a4d5e-bed0-436e-821e-d40167dfca99/4DNFIA8DHAFV.csv,FOF-CT - DNA-spot/trace core (csv)
Huang_2021_PMID34002095,4DNES51KSIZ9,4 CTCF sites inserted downstream of both Sox2 and SE,Chromatin Tracing of Sox2 and SE with engineered CTCF insertions,F123-CASTx129 with Sox2 tags and RMCE site downstream of Sox2 SE,stem cells,Tier 2; Mouse stem cell,stem cell,None,RMCE replacement,multiplexed FISH,5,1,1,4DNFI5Y2PIJM,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/9211824b-bd96-40ed-bcc2-94d41445d423/4DNFI5Y2PIJM.csv,FOF-CT - DNA-spot/trace core (csv)
Huang_2021_PMID34002095,4DNESIGBIXQS,4 CTCF sites inserted between Sox2 and SE,Chromatin Tracing of Sox2 and SE with engineered CTCF insertions,F123-CASTx129 with Sox2 tags and RMCE site between Sox2 and its SE,stem cells,Tier 2; Mouse stem cell,stem cell,None,RMCE replacement,multiplexed FISH,5,1,1,4DNFI2RCYFJU,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/ad8dff4b-cd51-45df-b7c7-cffaa147c2de/4DNFI2RCYFJU.csv,FOF-CT - DNA-spot/trace core (csv)
