paper,expset_accession,condition,dataset,biosource,sample_type,tissue_source,treatment,modification,assay_target,imaging_rounds,num_bio_reps,bio_rep_index,trace_core_file_accession,trace_core_url,all_fofct_types
Jensen_2025_PMID39626660,4DNESWTEQEBQ,"Multiplexed FISH in R1 mESCs","Multiplexed FISH in R1 mESCs","","","","","","multiplexed FISH",,1,1,4DNFIOAYT78F,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/a241d952-cdbf-4ca7-8f17-f6ed32f06572/4DNFIOAYT78F.csv,"FOF-CT - DNA-spot/trace core (csv)"
Jensen_2025_PMID39626660,4DNESSKEUB9C,"Multiplexed FISH in R1 mESCs","Multiplexed FISH in R1 mESCs","","","","","","multiplexed FISH",,1,1,4DNFIMCIZBOQ,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/f60bcf3e-b25d-4dd6-bc2f-c4c9a2cd4426/4DNFIMCIZBOQ.csv,"FOF-CT - DNA-spot/trace core (csv)"
Jensen_2025_PMID39626660,4DNESPB3DGGV,"Multiplexed FISH in R1 mESCs","Multiplexed FISH in R1 mESCs","","","","","","multiplexed FISH",,1,1,4DNFI91MVR51,https://4dn-open-data-public.s3.amazonaws.com/fourfront-webprod/wfoutput/13b50da1-0da3-40b6-a55c-2f93a62eef35/4DNFI91MVR51.csv,"FOF-CT - DNA-spot/trace core (csv)"
